DUID,STATION,TECHNOLOGY,HEATRATE_GJ_PER_MWH
HAMISF1,Hamilton Solar Farm,Large scale Solar PV,0.00
HVWWPV1,Happy Valley Reservoir,Large scale Solar PV,0.00
HAUGHT11,Haughton Solar Farm,Large scale Solar PV,0.00
HAYMSF1,Hayman Solar Farm,Large scale Solar PV,0.00
HILLSTN1,Hillston Sun Farm,Large scale Solar PV,0.00
HUGSF1,Hughenden Solar Farm,Large scale Solar PV,0.00
JEMALNG1,Jemalong Solar,Large scale Solar PV,0.00
JUNEESF1,Junee Solar Farm,Large scale Solar PV,0.00
KARSF1,Karadoc Solar Farm,Large scale Solar PV,0.00
KIAMSF1,Kiamal Solar Farm stage 1,Large scale Solar PV,0.00
KSP1,Kidston Solar Farm,Large scale Solar PV,0.00
LILYSF1,Lilyvale Solar Farm,Large scale Solar PV,0.00
LIMOSF11,Limondale Solar Farm 1,Large scale Solar PV,0.00
LIMOSF21,Limondale Solar Farm 2,Large scale Solar PV,0.00
LRSF1,Longreach Solar Farm,Large scale Solar PV,0.00
MANSLR1,Manildra Solar Farm,Large scale Solar PV,0.00
MAPS2PV1,Mannum Adelaide Pumping Station No 2 - MAPL2 (Palmer),Large scale Solar PV,0.00
MAPS3PV1,Mannum Adelaide Pumping Station No 3 - MAPL3 (Tungkillo),Large scale Solar PV,0.00
MARYRSF1,Maryrorough Solar Farm,Large scale Solar PV,0.00
MIDDLSF1,Middlemount Solar Farm,Large scale Solar PV,0.00
MOLNGSF1,Molong Solar Farm,Large scale Solar PV,0.00
MOREESF1,Moree Solar Farm,Large scale Solar PV,0.00
MWPS1PV1,Morgan To Whyalla Pipeline No 1 PS And Water Filtration Plant,Large scale Solar PV,0.00
MWPS2PV1,Morgan To Whyalla Pipeline No 2 PS,Large scale Solar PV,0.00
MWPS3PV1,Morgan To Whyalla Pipeline No 3 PS,Large scale Solar PV,0.00
MWPS4PV1,Morgan To Whyalla Pipeline No 4 PS,Large scale Solar PV,0.00
MOUSF1,Moura Solar Farm,Large scale Solar PV,0.00
MBPS2PV1,Murray Bridge - Onkaparinga Pipeline Pump 2,Large scale Solar PV,0.00
NEVERSF1,Nevertire Solar Farm,Large scale Solar PV,0.00
NEWENSF1,New England Solar Farm,Large scale Solar PV,0.00
NEWENSF2,New England Solar Farm,Large scale Solar PV,0.00
NUMURSF1,Numurkah Solar Farm,Large scale Solar PV,0.00
NYNGAN1,Nyngan Solar Plant,Large scale Solar PV,0.00
OAKEY1SF,Oakey 1 Solar Farm,Large scale Solar PV,0.00
OAKEY2SF,Oakey 2 Solar Farm,Large scale Solar PV,0.00
PARSF1,Parkes Solar Farm,Large scale Solar PV,0.00
PAREPS1,Port Augusta Renewable Energy Park - Solar,Large scale Solar PV,0.00
RRSF1,Ross River Solar Farm,Large scale Solar PV,0.00
RUGBYR1,Rugby Run Solar Farm,Large scale Solar PV,0.00
SMCSF1,Sun Metals Corporation Solar Farm,Large scale Solar PV,0.00
SUNRSF1,Sunraysia Solar Farm,Large scale Solar PV,0.00
SUNTPSF1,Suntop Solar Farm,Large scale Solar PV,0.00
SRSF1,Susan River Solar Farm,Large scale Solar PV,0.00
TBSF1,Tailem Bend Solar Farm,Large scale Solar PV,0.00
WARWSF1,Warwick Solar Farm - stage 1,Large scale Solar PV,0.00
WARWSF2,Warwick Solar Farm - stage 2,Large scale Solar PV,0.00
WELLSF1,Wellington Solar Farm,Large scale Solar PV,0.00
WEMENSF1,Wemen Solar Farm,Large scale Solar PV,0.00
WSTWYSF1,West Wyalong Solar Farm,Large scale Solar PV,0.00
WDGPH1,Western Downs Green Power Hub,Large scale Solar PV,0.00
WRSF1,White Rock Solar Farm,Large scale Solar PV,0.00
WHITSF1,Whitsunday Solar Farm,Large scale Solar PV,0.00
WINTSF1,Winton Solar Farm,Large scale Solar PV,0.00
WOOLGSF1,Woolooga Solar Farm,Large scale Solar PV,0.00
YARANSF1,Yarranlea Solar Farm,Large scale Solar PV,0.00
YATSF1,Yatpool Solar Farm,Large scale Solar PV,0.00
ARWF1,Ararat Wind Farm,Wind,0.00
BALDHWF1,Bald Hills Wind Farm,Wind,0.00
BANGOWF1,Bango 973 Wind Farm,Wind,0.00
BANGOWF2,Bango 999 Wind Farm,Wind,0.00
BRYB1WF1,Berrybank Wind Farm,Wind,0.00
BRYB2WF2,Berrybank Wind Farm,Wind,0.00
BOCORWF1,Boco Rock Wind Farm,Wind,0.00
BODWF1,Bodangora Wind Farm,Wind,0.00
BULGANA1,Bulgana Green Power Hub - Wind Farm,Wind,0.00
CNUNDAWF,Canunda Wind Farm,Wind,0.00
CAPTL_WF,Capital Wind Farm,Wind,0.00
CATHROCK,Cathedral Rocks Wind Farm,Wind,0.00
CTHLWF1,Cattle Hill Wind Farm,Wind,0.00
CHALLHWF,Challicum Hills Wind Farm,Wind,0.00
CHYTWF1,Cherry Tree Wind Farm,Wind,0.00
CLEMGPWF,Clements Gap Wind Farm,Wind,0.00
COLWF01,Collector Wind Farm,Wind,0.00
COOPGWF1,Coopers Gap Wind Farm,Wind,0.00
CROOKWF2,Crookwell 2 Wind Farm,Wind,0.00
CROWLWF1,Crowlands Wind Farm,Wind,0.00
CRURWF1,Crudine Ridge Wind Farm,Wind,0.00
CULLRGWF,Cullerin Range Wind Farm,Wind,0.00
DULAWF1,Dulacca Wind Farm,Wind,0.00
DUNDWF1,Dundonnell Wind Farm,Wind,0.00
DUNDWF2,Dundonnell Wind Farm,Wind,0.00
DUNDWF3,Dundonnell Wind Farm,Wind,0.00
ELAINWF1,Elaine Wind Farm,Wind,0.00
GRANWF1,Granville Harbour Wind Farm,Wind,0.00
GULLRWF1,Gullen Range Wind Farm,Wind,0.00
GULLRWF2,Gullen Range Wind Farm 2,Wind,0.00
GUNNING1,Gunning Wind Farm,Wind,0.00
NBHWF1,Hallett 4 North Brown Hill Wind Farm,Wind,0.00
BLUFF1,Hallett 5 The Bluff Wind Farm,Wind,0.00
HALLWF1,Hallett Stage 1 Brown Hill Wind Farm,Wind,0.00
HALLWF2,Hallett Stage 2 Hallett Hill Wind Farm,Wind,0.00
HDWF1,Hornsdale Wind Farm Stage 1,Wind,0.00
HDWF2,Hornsdale Wind Farm Stage 2,Wind,0.00
HDWF3,Hornsdale Wind Farm Stage 3,Wind,0.00
KIATAWF1,Kiata Wind Farm,Wind,0.00
LKBONNY1,Lake Bonney 1 Wind Farm,Wind,0.00
LKBONNY2,Lake Bonney 2 Wind Farm,Wind,0.00
LKBONNY3,Lake Bonney 3 Wind Farm,Wind,0.00
LGAPWF1,Lincoln Gap Wind Farm - stage 1,Wind,0.00
LGAPWF2,Lincoln Gap Wind Farm - stage 2,Wind,0.00
MACARTH1,Macarthur Wind Farm,Wind,0.00
MOORAWF1,Moorabool Wind Farm,Wind,0.00
MRTLSWF1,Mortlake South Wind Farm,Wind,0.00
MLWF1,Mortons Lane Wind Farm,Wind,0.00
MEWF1,Mount Emerald Wind Farm,Wind,0.00
MTMILLAR,Mount Millar Wind Farm,Wind,0.00
MERCER01,Mt Mercer Wind Farm,Wind,0.00
MUWAWF1,Murra Warra Wind Farm - stage 1,Wind,0.00
MUWAWF2,Murra Warra Wind Farm - stage 2,Wind,0.00
MUSSELR1,Musselroe Wind Farm,Wind,0.00
OAKLAND1,Oaklands Hill Wind Farm,Wind,0.00
PAREPW1,Port Augusta Renewable Energy Park - Wind,Wind,0.00
PORTWF,Portland Wind Farm,Wind,0.00
SALTCRK1,Salt Creek Wind Farm,Wind,0.00
SAPHWF1,Sapphire Wind Farm,Wind,0.00
STWF1,Silverton Wind Farm,Wind,0.00
SNOWNTH1,Snowtown S2 Wind Farm,Wind,0.00
SNOWSTH1,Snowtown S2 Wind Farm,Wind,0.00
SNOWTWN1,Snowtown Wind Farm,Wind,0.00
STARHLWF,Starfish Hill Wind Farm,Wind,0.00
STOCKYD1,Stockyard Hill Wind Farm,Wind,0.00
TARALGA1,Taralga Wind Farm,Wind,0.00
WATERLWF,Waterloo Wind Farm,Wind,0.00
WPWF,Wattle Point Wind Farm,Wind,0.00
WAUBRAWF,Waubra Wind Farm,Wind,0.00
WRWF1,White Rock Wind Farm - Stage 1,Wind,0.00
WGWF1,Willogoleche Wind Farm,Wind,0.00
WOODLWN1,Woodlawn Wind Farm,Wind,0.00
WOOLNTH1,Woolnorth Wind Farm,Wind,0.00
YSWF1,Yaloak South Wind Farm,Wind,0.00
YAMBUKWF,Yambuk Wind Farm,Wind,0.00
YENDWF1,Yendon Wind Farm,Wind,0.00
Tully Sugar Mill Biomass,Tully Sugar Mill Biomass,Biomass,17.54
HUNTER1,Hunter Power Station,OCGT,10.93
HUNTER2,Hunter Power Station,OCGT,10.93
Kidston Pumped Storage Hydro 1,Kidston ,Pumped Hydro (10hrs storage),0.00
Kidston Pumped Storage Hydro 2,Kidston ,Pumped Hydro (10hrs storage),0.00
SNO2PH01,Snowy 2.0,Pumped Hydro (1wk storage),0.00
SNO2PH02,Snowy 2.0,Pumped Hydro (1wk storage),0.00
SNO2PH03,Snowy 2.0,Pumped Hydro (1wk storage),0.00
SNO2PH04,Snowy 2.0,Pumped Hydro (1wk storage),0.00
SNO2PH05,Snowy 2.0,Pumped Hydro (1wk storage),0.00
SNO2PH06,Snowy 2.0,Pumped Hydro (1wk storage),0.00
ADPPV1,Adelaide Desalination Plant Solar Farm,Large scale Solar PV,0.00
AVLSF1,Avonlie Solar Farm,Large scale Solar PV,0.00
BLUEGSF1,Bluegrass Solar Farm,Large scale Solar PV,0.00
Broadsound Solar Farm,Broadsound Solar Farm,Large scale Solar PV,0.00
Bundaberg Solar Farm,Bundaberg Solar Farm,Large scale Solar PV,0.00
COHUNSF1,Cohuna Solar Farm,Large scale Solar PV,0.00
COLUMSF1,Columboola Solar Farm,Large scale Solar PV,0.00
CRWASF1,Corowa Solar Farm,Large scale Solar PV,0.00
Culcairn Solar Farm,Culcairn Solar Farm,Large scale Solar PV,0.00
EDENVSF1,Edenvale Solar Park,Large scale Solar PV,0.00
GANGARR1,Gangarri Solar Farm,Large scale Solar PV,0.00
GIRGSF,Girgarre Solar Farm,Large scale Solar PV,0.00
Goorambat East Solar Farm,Goorambat East Solar Farm,Large scale Solar PV,0.00
KEPSF1,Kennedy Energy Park Solar Farm,Large scale Solar PV,0.00
KINGASF1,Kingaroy Solar Farm,Large scale Solar PV,0.00
Lockhart Hybrid Facility - Solar,Lockhart Hybrid Facility - Solar,Large scale Solar PV,0.00
MANSF2,Mannum Solar Farm 2,Large scale Solar PV,0.00
METZSF1,Metz Solar Farm,Large scale Solar PV,0.00
QPSF,Quorn Park Solar Farm,Large scale Solar PV,0.00
Riverina Solar Farm,Riverina Solar Farm,Large scale Solar PV,0.00
SEBSF1,Sebastopol Solar Farm,Large scale Solar PV,0.00
Stubbo Solar Farm,Stubbo Solar Farm,Large scale Solar PV,0.00
TB2SF1,Tailem Bend Solar Farm - stage 2,Large scale Solar PV,0.00
Tilbuster Solar Farm,Tilbuster Solar Farm,Large scale Solar PV,0.00
WAGGNSF1,Wagga North Solar Farm,Large scale Solar PV,0.00
WLWLSF1,Walla Walla Solar Farm,Large scale Solar PV,0.00
WLWLSF2,Walla Walla Solar Farm,Large scale Solar PV,0.00
WANDSF1,Wandoan South Solar Farm - stage 1,Large scale Solar PV,0.00
WELNSF1,Wellington North Solar Farm (Lightsource),Large scale Solar PV,0.00
WOLARSF1,Wollar Solar Farm,Large scale Solar PV,0.00
WUNUSF1,Wunghnu Solar Farm,Large scale Solar PV,0.00
WYASF1,Wyalong Solar Farm,Large scale Solar PV,0.00
CLRKCWF1,Clarke Creek Wind Farm,Wind,0.00
CLRKCWF2,Clarke Creek Wind Farm,Wind,0.00
CROOKWF3,Crookwell 3 Wind Farm,Wind,0.00
FLYCRKWF,Flyers Creek Wind Farm,Wind,0.00
GPWFEST1,Golden Plains Wind Farm East,Wind,0.00
GPWFEST2,Golden Plains Wind Farm East,Wind,0.00
GPWFEST3,Golden Plains Wind Farm East,Wind,0.00
GSWF1A,Goyder South Wind Farm 1A,Wind,0.00
